1,8192
1,4096
1,2048
1,1024
1,512
1,256
1,128
1,64
1,32
1,16
1,8
1,4
1,2
1,1
1,0.5
1,0.25
2,6144
2,3072
2,1536
2,768
2,384
2,192
2,96
2,48
2,24
2,12
2,6
2,3
2,1.5
2,0.75
3,5120
3,2560
3,1280
3,640
3,320
3,160
3,80
3,40
3,20
3,10
3,5
3,2.5
3,1.25
4,7168
4,3584
4,1792
4,896
4,448
4,224
4,112
4,56
4,28
4,14
4,7
4,3.5
4,1.75
5,9216
5,4608
5,2304
5,1152
5,576
5,288
5,144
5,72
5,36
5,18
5,9
5,4.5
5,2.25
6,5632
6,2816
6,1408
6,704
6,352
6,176
6,88
6,44
6,22
6,11
6,5.5
6,2.75
